user_id,card_id,action,timestamp,position,session_id
user_001,aqi,expand,2026-08-31 23:45:00,2,session_001
user_002,uv,expand,2026-08-31 23:50:00,3,session_002
learning_test_user,uv,expand,2026-09-01T00:14:34.484073,3,learning_session_001
learning_test_user,uv,expand,2026-09-01T00:14:34.488638,3,learning_session_001
learning_test_user,uv,expand,2026-09-01T00:14:34.491555,3,learning_session_001
learning_test_user,uv,expand,2026-09-01T00:14:34.493812,3,learning_session_001
learning_test_user,uv,expand,2026-09-01T00:14:34.495979,3,learning_session_001
learning_test_user,uv,expand,2026-09-01T11:19:07.811192,3,learning_session_001
learning_test_user,uv,expand,2026-09-01T11:19:07.816861,3,learning_session_001
learning_test_user,uv,expand,2026-09-01T11:19:07.820511,3,learning_session_001
learning_test_user,uv,expand,2026-09-01T11:19:07.823658,3,learning_session_001
learning_test_user,uv,expand,2026-09-01T11:19:07.826391,3,learning_session_001
